rank,bank,country,total_assets_us_b,balance_sheet
1,Industrial & Commercial Bank of China,China,"4,005.58",12/31/2017
2,China Construction Bank Corp,China,"3,397.13",12/31/2017
3,Agricultural Bank of China,China,"3,232.68",12/31/2017
4,Bank of China,China,"2,989.16",12/31/2017
5,Mitsubishi UFJ Financial Group,Japan,"2,773.82",12/31/2017
6,JPMorgan Chase & Co,USA,"2,533.60",12/31/2017
7,HSBC Holdings,UK,"2,521.77",12/31/2017
8,BNP Paribas,France,"2,348.11",12/31/2017
9,Bank of America,USA,"2,281.23",12/31/2017
10,China Development Bank,China,"2,201.86",12/31/2016
11,Credit Agricole Group,France,"2,112.04",12/31/2017
12,Wells Fargo,USA,"1,951.76",12/31/2017
13,Japan Post Bank,Japan,"1,873.50",12/31/2017
14,Mizuho Financial Group,Japan,"1,850.10",12/31/2017
15,Sumitomo Mitsui Financial Group,Japan,"1,847.47",12/31/2017
16,Citigroup Inc,USA,"1,843.06",12/31/2017
17,Deutsche Bank,Germany,"1,766.85",12/31/2017
18,Banco Santander,Spain,"1,730.08",12/31/2017
19,Barclays PLC,UK,"1,528.89",12/31/2017
20,Societe Generale,France,"1,527.43",12/31/2017
21,Groupe BPCE,France,"1,509.13",12/31/2017
22,Bank of Communications,China,"1,387.79",12/31/2017
23,Postal Savings Bank of China,China,"1,383.85",12/31/2017
24,Lloyds Banking Group,UK,"1,095.64",12/31/2017
25,Royal Bank of Canada,Canada,"1,028.72",12/31/2017
26,ING Groep NV,Netherlands,"1,013.65",12/31/2017
27,Toronto-Dominion Bank,Canada,"1,006.98",12/31/2017
28,Norinchukin Bank,Japan,"1,006.70",12/31/2017
29,UniCredit S.p.A.,Italy,"1,002.36",12/31/2017
30,Royal Bank of Scotland Group,UK,995.729,12/31/2017
31,Industrial Bank Co. Ltd,China,985.646,12/31/2017
32,China Merchants Bank,China,966.117,12/31/2017
33,Intesa Sanpaolo,Italy,954.531,12/31/2017
34,Credit Mutuel,France,950.531,12/31/2016
35,UBS Group AG,Switzerland,937.802,12/31/2017
36,Shanghai Pudong Development Bank,China,942.777,12/31/2017
37,Goldman Sachs Group,USA,916.787,12/31/2017
38,Agricultural Development Bank of China,China,873.419,6/30/2017
39,China Minsheng Banking Corp,China,859.407,9/30/2017
40,Morgan Stanley,USA,851.733,12/31/2017
41,China CITIC Bank Corp,China,832.996,9/30/2017
42,BBVA,Spain,826.597,12/31/2017
43,Credit Suisse Group,Switzerland,815.587,12/31/2017
44,Bank of Nova Scotia,Canada,754.509,12/31/2017
45,Commonwealth Bank of Australia,Australia,750.775,12/31/2017
46,Rabobank Group,Netherlands,722.301,12/31/2017
47,Australia & New Zealand Banking Group,Australia,700.352,9/30/2017
48,Nordea,Sweden,695.795,12/31/2017
49,European Investment Bank,Luxembourg,686.653,12/31/2016
50,Westpac Banking Corp,Australia,664.878,9/30/2017
51,Standard Chartered Plc,UK,663.501,12/31/2017
52,National Australia Bank,Australia,615.516,9/30/2017
53,China Everbright Bank,China,627.737,12/31/2017
54,DZ Bank AG,Germany,605.64,12/31/2017
55,Bank of Montreal,Canada,578.53,12/31/2017
56,Sumitomo Mitsui Trust Holdings,Japan,569.949,12/31/2017
57,Danske Bank,Denmark,569.335,12/31/2017
58,KfW Group,Germany,565.392,12/31/2017
